Array Size,Time (nanos)
50,3600
100,23500
150,19700
200,37900
250,53400
300,74500
350,98700
400,123200
450,218400
500,193600
550,231800
600,336600
650,321500
700,367200
750,425000
800,548600
850,622400
900,653300
950,735300
1000,800700
